,comment,label.id,label.lineage_names,label.name,label.uuid,needs_review,point.id,point.is_targeted,point.media.deployment.campaign.key,point.media.deployment.key,point.media.id,point.media.key,point.media.path_best,point.pose.alt,point.pose.dep,point.pose.lat,point.pose.lon,point.pose.timestamp,tag_names,updated_at
0,,28556,Habitat Classification > Caulerpa,Caulerpa,8a984375-dc9d-4449-a491-ab4714db9bec,FALSE,9852988,FALSE,202210_Nordic,202210_Nordic_3,8474948,GOPR4421.JPG,https://gbe-uauckland.s3.ap-southeast-2.amazonaws.com/drop_camera/202210_Nordic/202210_Nordic_3/images/GOPR4421.JPG,1,7.5,-36.291686,174.810242,19/10/2022 14:32,,13:01.1
1,,28564,Habitat Classification > Turf,Turf,5a087e6d-39e9-49f0-b86f-208d258771a1,FALSE,9853003,FALSE,202210_Nordic,202210_Nordic_3,8474960,GOPR4433.JPG,https://gbe-uauckland.s3.ap-southeast-2.amazonaws.com/drop_camera/202210_Nordic/202210_Nordic_3/images/GOPR4433.JPG,1,6.1,-36.291578,174.810103,19/10/2022 14:35,,20:23.2
2,,28564,Habitat Classification > Turf,Turf,5a087e6d-39e9-49f0-b86f-208d258771a1,FALSE,9853004,FALSE,202210_Nordic,202210_Nordic_3,8474961,GOPR4434.JPG,https://gbe-uauckland.s3.ap-southeast-2.amazonaws.com/drop_camera/202210_Nordic/202210_Nordic_3/images/GOPR4434.JPG,1,5.1,-36.291587,174.810051,19/10/2022 14:35,,21:15.0
3,,28564,Habitat Classification > Turf,Turf,5a087e6d-39e9-49f0-b86f-208d258771a1,FALSE,9852958,FALSE,202210_Nordic,202210_Nordic_3,8474923,GOPR4396.JPG,https://gbe-uauckland.s3.ap-southeast-2.amazonaws.com/drop_camera/202210_Nordic/202210_Nordic_3/images/GOPR4396.JPG,1,2.8,-36.291707,174.809168,19/10/2022 14:26,,47:56.6
4,,28564,Habitat Classification > Turf,Turf,5a087e6d-39e9-49f0-b86f-208d258771a1,FALSE,9852968,FALSE,202210_Nordic,202210_Nordic_3,8474932,GOPR4405.JPG,https://gbe-uauckland.s3.ap-southeast-2.amazonaws.com/drop_camera/202210_Nordic/202210_Nordic_3/images/GOPR4405.JPG,1,4.9,-36.291674,174.8096,19/10/2022 14:29,Primary,59:50.8
5,,28564,Habitat Classification > Turf,Turf,5a087e6d-39e9-49f0-b86f-208d258771a1,FALSE,9852984,FALSE,202210_Nordic,202210_Nordic_3,8474945,GOPR4418.JPG,https://gbe-uauckland.s3.ap-southeast-2.amazonaws.com/drop_camera/202210_Nordic/202210_Nordic_3/images/GOPR4418.JPG,1,6.9,-36.291678,174.810149,19/10/2022 14:31,,10:53.2
6,,28564,Habitat Classification > Turf,Turf,5a087e6d-39e9-49f0-b86f-208d258771a1,FALSE,9853017,FALSE,202210_Nordic,202210_Nordic_3,8474972,GOPR4445.JPG,https://gbe-uauckland.s3.ap-southeast-2.amazonaws.com/drop_camera/202210_Nordic/202210_Nordic_3/images/GOPR4445.JPG,1,4.3,-36.291559,174.809603,19/10/2022 14:37,,27:03.5
7,,28563,Habitat Classification > Sand/silt,Sand/silt,0c6de128-85c5-4878-9bca-d150203aadc3,FALSE,9852955,FALSE,202210_Nordic,202210_Nordic_3,8474920,GOPR4393.JPG,https://gbe-uauckland.s3.ap-southeast-2.amazonaws.com/drop_camera/202210_Nordic/202210_Nordic_3/images/GOPR4393.JPG,1,3,-36.291705,174.809025,19/10/2022 14:26,,45:39.8
8,,28565,Habitat Classification > Unconsolidated,Unconsolidated,4fa5ce3c-49fc-4484-9f00-95c347733214,TRUE,9852956,FALSE,202210_Nordic,202210_Nordic_3,8474921,GOPR4394.JPG,https://gbe-uauckland.s3.ap-southeast-2.amazonaws.com/drop_camera/202210_Nordic/202210_Nordic_3/images/GOPR4394.JPG,1,3.1,-36.291702,174.809083,19/10/2022 14:26,,46:17.7
9,,28564,Habitat Classification > Turf,Turf,5a087e6d-39e9-49f0-b86f-208d258771a1,FALSE,9852983,FALSE,202210_Nordic,202210_Nordic_3,8474944,GOPR4417.JPG,https://gbe-uauckland.s3.ap-southeast-2.amazonaws.com/drop_camera/202210_Nordic/202210_Nordic_3/images/GOPR4417.JPG,1,6.6,-36.291673,174.810119,19/10/2022 14:31,,10:31.8
